dc_id,query_order,query_text,request_url_without_sensitive_data,request_timestamp,response_cache_path,result_count,selected_result_index,selected_display_name,selected_latitude,selected_longitude,selected_osm_type,selected_osm_id,selected_category,selected_type,acceptance_status,acceptance_reason,reviewer_note
C04,2,无锡国家物流枢纽供应链基地,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:14.850130+00:00,data/cache/v0.2-candidate/geocoding/C04_query_02.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C04,3,锡西大道 新长铁路 无锡 惠山区,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:14.851586+00:00,data/cache/v0.2-candidate/geocoding/C04_query_03.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C05,1,杭州传化公路港,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:14.851586+00:00,data/cache/v0.2-candidate/geocoding/C05_query_01.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C05,2,传化公路港 萧山区 宁围街道,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:14.851586+00:00,data/cache/v0.2-candidate/geocoding/C05_query_02.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C05,3,传化物流公路港 杭州 萧山,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:56.960581+00:00,data/cache/v0.2-candidate/geocoding/C05_query_03.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C06,1,宁波栎社保税物流中心 聚才路99号,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:56.960581+00:00,data/cache/v0.2-candidate/geocoding/C06_query_01.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C06,2,宁波市海曙区聚才路99号,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:56.960581+00:00,data/cache/v0.2-candidate/geocoding/C06_query_02.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C06,3,宁波空港物流园区 聚才路99号,https://nominatim.openstreetmap.org/search,2026-08-02T14:14:56.961584+00:00,data/cache/v0.2-candidate/geocoding/C06_query_03.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C07,1,派河国际综合物流园公共物流中心,https://nominatim.openstreetmap.org/search,2026-08-02T14:15:39.084731+00:00,data/cache/v0.2-candidate/geocoding/C07_query_01.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C07,2,合肥派河物流园 莲花路 疏港大道,https://nominatim.openstreetmap.org/search,2026-08-02T14:15:39.085731+00:00,data/cache/v0.2-candidate/geocoding/C07_query_02.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C07,3,合肥经济技术开发区 莲花路 疏港大道 物流中心,https://nominatim.openstreetmap.org/search,2026-08-02T14:15:39.085731+00:00,data/cache/v0.2-candidate/geocoding/C07_query_03.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C08,1,嘉兴现代物流园 王店,https://nominatim.openstreetmap.org/search,2026-08-02T14:15:39.085731+00:00,data/cache/v0.2-candidate/geocoding/C08_query_01.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C08,2,嘉兴现代物流园 吉蚂西路,https://nominatim.openstreetmap.org/search,2026-08-02T14:16:21.204034+00:00,data/cache/v0.2-candidate/geocoding/C08_query_02.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C08,3,嘉兴市秀洲区王店镇 现代物流园,https://nominatim.openstreetmap.org/search,2026-08-02T14:16:21.204034+00:00,data/cache/v0.2-candidate/geocoding/C08_query_03.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
